epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,222.451,3.39075,8.14904,4.30017,0,0,0,0,3.21235,10.8672,4.15336,2.99772e-05,2.99772e-05,2.99772e-05
55,226.297,2.95363,7.23994,4.26629,0,0,0,0,3.21235,10.8672,4.15336,2.99066e-05,2.99066e-05,2.99066e-05
56,229.965,2.54052,7.83665,4.58638,0,0,0,0,3.21235,10.8672,4.15336,2.98125e-05,2.98125e-05,2.98125e-05
57,233.667,3.17619,7.08669,4.42206,0,0,0,0,3.21334,10.8662,4.15337,2.96948e-05,2.96948e-05,2.96948e-05
58,237.201,2.64423,7.24583,4.27799,0,0,0,0,3.21334,10.8662,4.15337,2.95535e-05,2.95535e-05,2.95535e-05
59,240.743,2.99466,7.99665,4.18752,0,0,0,0,3.21334,10.8662,4.15337,2.93887e-05,2.93887e-05,2.93887e-05
60,244.19,2.94648,7.28482,4.35903,0,0,0,0,3.21447,10.8705,4.15337,2.92003e-05,2.92003e-05,2.92003e-05
61,247.918,3.11143,7.14321,4.26036,0,0,0,0,3.21447,10.8705,4.15337,2.89884e-05,2.89884e-05,2.89884e-05
62,251.482,2.42285,7.53778,4.26257,0,0,0,0,3.21447,10.8705,4.15337,2.87529e-05,2.87529e-05,2.87529e-05
63,255.236,3.4562,8.95408,4.4518,0,0,0,0,3.21565,10.8706,4.15347,2.84938e-05,2.84938e-05,2.84938e-05
64,258.995,2.63663,6.75691,4.37914,0,0,0,0,3.21565,10.8706,4.15347,2.82112e-05,2.82112e-05,2.82112e-05
65,262.513,2.9871,7.89671,4.81106,0,0,0,0,3.21565,10.8706,4.15347,2.7905e-05,2.7905e-05,2.7905e-05
66,266.23,2.63393,7.34127,4.35691,0,0,0,0,3.21703,10.8756,4.15364,2.75753e-05,2.75753e-05,2.75753e-05
67,269.719,2.6972,7.07485,4.3087,0,0,0,0,3.21703,10.8756,4.15364,2.7222e-05,2.7222e-05,2.7222e-05
68,273.23,2.85748,7.27582,4.22426,0,0,0,0,3.21703,10.8756,4.15364,2.68451e-05,2.68451e-05,2.68451e-05
69,276.961,2.95505,7.74795,4.22438,0,0,0,0,3.21818,10.8762,4.15378,2.64447e-05,2.64447e-05,2.64447e-05
70,280.739,3.00926,8.5899,4.19754,0,0,0,0,3.21818,10.8762,4.15378,2.60207e-05,2.60207e-05,2.60207e-05
71,285.517,3.11274,8.33195,4.21987,0,0,0,0,3.21818,10.8762,4.15378,2.55731e-05,2.55731e-05,2.55731e-05
72,289.355,2.87939,7.80827,4.34161,0,0,0,0,3.21926,10.8775,4.15178,2.5102e-05,2.5102e-05,2.5102e-05
73,293.46,2.82691,6.79277,4.24111,0,0,0,0,3.21926,10.8775,4.15178,2.46073e-05,2.46073e-05,2.46073e-05
74,297.607,2.99496,7.14999,4.11722,0,0,0,0,3.21926,10.8775,4.15178,2.40891e-05,2.40891e-05,2.40891e-05
75,302.221,2.78953,7.51062,4.42866,0,0,0,0,3.22034,10.8799,4.15193,2.35472e-05,2.35472e-05,2.35472e-05
76,305.702,3.04316,7.19985,4.22275,0,0,0,0,3.22034,10.8799,4.15193,2.29819e-05,2.29819e-05,2.29819e-05
77,309.209,2.93458,7.40421,4.23919,0,0,0,0,3.22034,10.8799,4.15193,2.23929e-05,2.23929e-05,2.23929e-05
78,313.498,2.84717,6.77232,4.27268,0,0,0,0,3.2215,10.8849,4.15212,2.17805e-05,2.17805e-05,2.17805e-05
79,317.503,2.95148,7.23687,4.26557,0,0,0,0,3.2215,10.8849,4.15212,2.11444e-05,2.11444e-05,2.11444e-05
80,321.107,3.14941,7.95516,4.5328,0,0,0,0,3.2215,10.8849,4.15212,2.04848e-05,2.04848e-05,2.04848e-05
81,324.59,3.03394,7.41774,4.35792,0,0,0,0,3.22271,10.8901,4.15251,1.98016e-05,1.98016e-05,1.98016e-05
82,328.142,2.72955,7.27775,4.29479,0,0,0,0,3.22271,10.8901,4.15251,1.90949e-05,1.90949e-05,1.90949e-05
83,331.746,3.05685,7.39065,4.29596,0,0,0,0,3.22271,10.8901,4.15251,1.83646e-05,1.83646e-05,1.83646e-05
84,335.309,2.4721,7.33765,4.16094,0,0,0,0,3.22396,10.8943,4.15272,1.76107e-05,1.76107e-05,1.76107e-05
85,338.99,3.11031,6.74933,4.28851,0,0,0,0,3.22396,10.8943,4.15272,1.68333e-05,1.68333e-05,1.68333e-05
86,342.661,2.74302,8.42009,4.15936,0,0,0,0,3.22396,10.8943,4.15272,1.60323e-05,1.60323e-05,1.60323e-05
87,346.489,3.05944,6.79484,4.39538,0,0,0,0,3.22396,10.8943,4.15272,1.52077e-05,1.52077e-05,1.52077e-05
88,350.305,2.94478,8.31826,4.43181,0,0,0,0,3.22546,10.8999,4.15314,1.43596e-05,1.43596e-05,1.43596e-05
89,353.554,3.35805,8.49897,4.15122,0,0,0,0,3.22546,10.8999,4.15314,1.34879e-05,1.34879e-05,1.34879e-05
90,357.125,3.08621,6.80301,4.27324,0,0,0,0,3.22546,10.8999,4.15314,1.25927e-05,1.25927e-05,1.25927e-05
91,360.528,2.68766,9.10395,4.46539,0,0,0,0,3.22546,10.8999,4.15314,1.16739e-05,1.16739e-05,1.16739e-05
92,364.111,2.57077,9.23038,4.32616,0,0,0,0,3.22706,10.9047,4.15355,1.07315e-05,1.07315e-05,1.07315e-05
93,367.841,2.47788,8.62922,4.47309,0,0,0,0,3.22706,10.9047,4.15355,9.76562e-06,9.76562e-06,9.76562e-06
94,371.973,2.51096,9.60203,4.45289,0,0,0,0,3.22706,10.9047,4.15355,8.77613e-06,8.77613e-06,8.77613e-06
95,376.822,2.35558,8.79104,4.3264,0,0,0,0,3.22706,10.9047,4.15355,7.76308e-06,7.76308e-06,7.76308e-06
96,381.227,2.20659,8.88307,4.52038,0,0,0,0,3.22845,10.9066,4.15407,6.72648e-06,6.72648e-06,6.72648e-06
97,385.357,2.33764,8.94631,4.32514,0,0,0,0,3.22845,10.9066,4.15407,5.6663e-06,5.6663e-06,5.6663e-06
98,389.214,2.51159,8.43974,4.65261,0,0,0,0,3.22845,10.9066,4.15407,4.58257e-06,4.58257e-06,4.58257e-06
99,392.59,2.48451,8.99052,4.04152,0,0,0,0,3.22845,10.9066,4.15407,3.47528e-06,3.47528e-06,3.47528e-06
100,396.315,2.60967,9.21003,4.50257,0,0,0,0,3.22964,10.9101,4.15293,2.34442e-06,2.34442e-06,2.34442e-06
